name,url,description
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Aeronautical Engineering (New) Description Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Aerospace Engineering (New) Description Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Agile Software Development Description Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development. Job levels Graduate, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 minutes Test Type: K"
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Agile Testing (New) Description Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K"
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,"AI Skills Description The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work. Job levels General Population, Languages English (USA), Assessment length Approximate Completion Time in minutes = 16 Test Type: P"
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Amazon Web Services (AWS) Development (New) Description Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K"
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Android Development (New) Description Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K"
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,"Angular 6 (New) Description Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 11 Test Type: K"
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"AngularJS (New) Description Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K"
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,"Apache Hadoop (New) Description Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K"
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Apache Hadoop Extensions (New) Description Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K"
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Apache HBase (New) Description Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K"
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Apache Hive (New) Description Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K"
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Apache Kafka (New) Description Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K"
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Apache Pig (New) Description Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K"
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Apache Spark (New) Description Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K"
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"ASP .NET with C# (New) Description Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K"
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"ASP.NET 4.5 Description The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 Test Type: K"
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"Assessment and Development Center Exercises Description SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform. We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises. Exercises are available across a wide range of job levels and industry contexts. Contact SHL to find out more. Job levels Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English International, English (USA), Assessment length Approximate Completion Time in minutes = Variable Test Type: E"
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"Automata - Fix (New) Description A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 20 Test Type: S"
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"Automata - SQL (New) Description A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 30 Test Type: S"
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,"Automata (New) Description An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 45 Test Type: S"
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,"Automata Data Science (New) Description A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 60 Test Type: S"
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,"Automata Data Science Pro (New) Description A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. Job levels Professional Individual Contributor, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 60 Test Type: S"
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,"Automata Front End Description Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 minutes Test Type: S"
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,"Automata Pro (New) Description An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 60 Test Type: S"
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,"Automata Selenium Description A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts. Job levels Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 60 Test Type: S"
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Automation Anywhere RPA Development (New) Description Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K"
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,"Automotive Engineering (New) Description Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K"
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,"Basic Biology (New) Description Multi choice test that measures the candidate's basic understanding of Biology. Job levels Professional Individual Contributor, Graduate, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K"
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"Basic Computer Literacy (Windows 10) (New) Description The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 Test Type: S K"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,"Basic Statistics (New) Description Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Biochemistry (New) Description Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K"
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,"Biotech Lab Techniques (New) Description Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis. Job levels Graduate, Professional Individual Contributor, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K"
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,"BizTalk (New) Description Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 16 Test Type: K"
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,"Business Communication (adaptive) Description This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. Job levels Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 24 Test Type: K"
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,"Business Communications Description This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive. Languages English (USA), Assessment length Approximate Completion Time in minutes = 35 Test Type: K"
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,"C Programming (New) Description Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,"C# Programming (New) Description Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K"
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,"C++ Programming (New) Description Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Cardiology and Diabetes Management (New) Description Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 4 Test Type: K"
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,"Ceramic Engineering (New) Description Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 12 Test Type: K"
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Chemical Engineering (New) Description Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K"
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,"Cisco AppDynamics (New) Description Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K"
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,"Civil Engineering (New) Description Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering. Job levels Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,"Cloud Computing (New) Description Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K"
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"COBOL Programming (New) Description Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K"
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Computer Science (New) Description Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 12 Test Type: K"
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,"Contact Center Call Simulation (New) Description Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 15 Test Type: S"
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,"Conversational Multichat Simulation Description This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response. Languages English (USA), Assessment length Approximate Completion Time in minutes = 11 Test Type: S"
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Core Java (Advanced Level) (New) Description Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K"
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,"Core Java (Entry Level) (New) Description Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K"
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,"Count Out The Money Description The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis. Job levels Entry-Level, Languages English (USA), English (Australia), English (Canada), English International, English (South Africa), Assessment length Approximate Completion Time in minutes = 5 Test Type: K S"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,"CSS3 (New) Description Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K"
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Culinary Skills (New) Description Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety. Job levels Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K"
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"Customer Service Phone Simulation Description As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate. ""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."" Job levels Entry-Level, Languages French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA), Assessment length Approximate Completion Time in minutes = 20 Test Type: B S"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"Customer Service Phone Solution Description As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles. ""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."" Job levels Entry-Level, Languages French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International, Assessment length Approximate Completion Time in minutes = 30 Test Type: B P S"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,"Cyber Risk (New) Description Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management. Job levels Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K"
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,"Data Entry (New) Description Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 4 Test Type: S"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,"Data Entry Alphanumeric Split Screen - US Description The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy. Job levels Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K"
