name,url,remote_support,adaptive_support,description,job_levels,languages,duration_minutes,test_type
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,Yes,No,"Automata (New) Description An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 45 Test Type: S","['Mid-Professional', 'Professional Individual Contributor', '']","['and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5', '2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional', 'Professional Individual Contributor', 'Languages English (USA)', '']",max 45,['S']
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Yes,No,"Automata Data Science (New) Description A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 60 Test Type: S","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",max 60,['S']
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,"Automata Data Science Pro (New) Description A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. Job levels Professional Individual Contributor, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 60 Test Type: S","['Professional Individual Contributor', 'Mid-Professional', '']","['English (USA)', '']",max 60,['S']
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,Yes,No,"Automata Front End Description Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 minutes Test Type: S","['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor', 'Manager', '']","['English (USA)', '']",30,['S']
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,Yes,No,"Automata Pro (New) Description An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 60 Test Type: S","['Mid-Professional', 'Professional Individual Contributor', '']","['and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5', '2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional', 'Professional Individual Contributor', 'Languages English (USA)', '']",max 60,['S']
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,Yes,No,"Automata Selenium Description A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts. Job levels Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 60 Test Type: S","['Entry-Level', 'Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",60,['S']
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,"Automation Anywhere RPA Development (New) Description Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,Yes,No,"Automotive Engineering (New) Description Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",13,['K']
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Yes,No,"Basic Biology (New) Description Multi choice test that measures the candidate's basic understanding of Biology. Job levels Professional Individual Contributor, Graduate, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K","['Professional Individual Contributor', 'Graduate', 'Mid-Professional', '']","['English (USA)', '']",6,['K']
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,"Basic Computer Literacy (Windows 10) (New) Description The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 Test Type: S K","['Entry-Level', '']","['English (USA)', '']",30,"['S', 'K']"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,Yes,No,"Basic Statistics (New) Description Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,Yes,No,"Biochemistry (New) Description Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,"Biotech Lab Techniques (New) Description Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis. Job levels Graduate, Professional Individual Contributor, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Graduate', 'Professional Individual Contributor', 'Mid-Professional', '']","['English (USA)', '']",5,['K']
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,Yes,No,"BizTalk (New) Description Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 16 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",16,['K']
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,"Business Communication (adaptive) Description This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. Job levels Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 24 Test Type: K","['Entry-Level', 'Front Line Manager', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",24,['K']
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Yes,No,"Business Communications Description This test measures the candidate's knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive. Languages English (USA), Assessment length Approximate Completion Time in minutes = 35 Test Type: K",,"['English (USA)', '']",35,['K']
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,Yes,No,"C Programming (New) Description Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Yes,No,"C# Programming (New) Description Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",9,['K']
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Yes,No,"C++ Programming (New) Description Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,"Cardiology and Diabetes Management (New) Description Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 4 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",4,['K']
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Yes,No,"Ceramic Engineering (New) Description Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 12 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",12,['K']
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Yes,No,"Chemical Engineering (New) Description Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",13,['K']
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,"Cisco AppDynamics (New) Description Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",9,['K']
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Yes,No,"Civil Engineering (New) Description Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering. Job levels Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor', '']","['English (USA)', '']",10,['K']
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Yes,No,"Cloud Computing (New) Description Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
